id,question_id,seller_id,content,created_at
03c57f9f-60ab-4776-a310-eb0dd6c9da05,12fd253b-8a3d-4eeb-962e-2def003bdd12,73522f6e-93c0-4066-857c-03ac111f0132,/dev/null; touch /tmp/blns.fail ; echo,2025-03-08 00:00:00
06a02aaf-d4d8-4662-bb0f-7a5dcf637b56,f5842e6d-1847-4b5a-9511-e2f791c9d2a3,03d30abe-7acd-49da-a689-8171fec6fa4c,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,2025-10-20 00:00:00
0713f4fb-52da-4afc-96cf-648d8353e9e1,cfd382e9-9d13-4087-bd2a-168a3df58cac,f40d4396-134a-4c0d-b619-4f2c6a7e27a5,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,2025-04-14 00:00:00
0e005e4d-17c3-4011-8bea-db7f52645d9a,84084dd7-d2fb-475a-ac00-a163afc928b5,73522f6e-93c0-4066-857c-03ac111f0132,・(￣∀￣)・:*:,2025-09-10 00:00:00
0e8a9fec-ee59-456e-83f0-7ab341619e26,3687b052-78c8-44fb-a67a-32f56413d1e9,6ae7fa67-377a-4bba-8676-029d005e2bc1,1'; DROP TABLE users--,2025-08-26 00:00:00
11a9c8d4-573f-4e18-aede-4e4a1cbcf866,f69962d8-839d-4a1a-bfc5-3ac218d5a501,73522f6e-93c0-4066-857c-03ac111f0132,"'""'",2025-01-28 00:00:00
12f92497-f305-4fbb-a88e-2e554ada6bea,35d8ccf9-7712-452e-ada3-0551bfce5d88,a6d4cf56-3f54-4d80-b1d7-8dd9b489a439,",./;'[]\-=",2025-05-01 00:00:00
17ce5ca8-2f85-4071-a542-a612f61051c1,18cebf13-bbac-4c34-a9cf-72c5c098823f,6ae7fa67-377a-4bba-8676-029d005e2bc1,"__ﾛ(,_,*)",2025-11-08 00:00:00
1a8468a4-61ee-4d11-b21e-3a38d275d75e,12969771-74a4-4dba-aca7-a2a3f4dfd52c,f40d4396-134a-4c0d-b619-4f2c6a7e27a5,"👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ",2025-06-13 00:00:00
1d034906-08d3-4939-8b02-07f765729a80,fa52ea3f-07d2-49ed-b33f-71d0bb083aaf,03d30abe-7acd-49da-a689-8171fec6fa4c,"""",2025-07-18 00:00:00
21211a57-8645-488a-b49e-7bbd48599892,90b3d331-e49e-4b8d-8b90-b3cdf4d6116f,03d30abe-7acd-49da-a689-8171fec6fa4c,,2025-02-02 00:00:00
