id,product_id,bidder_id,bid_amount,bid_time
1aad4170-23b2-4e0e-86aa-a0a992c3508c,9405ef0f-2f13-44eb-a7b1-e8a1509437ea,ac285fd8-a4a1-40ac-8286-c8d6173f057a,2972,2025-11-23 10:10:24
1cadf461-51f9-4237-a33e-009e5268d8db,9405ef0f-2f13-44eb-a7b1-e8a1509437ea,ac285fd8-a4a1-40ac-8286-c8d6173f057a,3030,2025-11-23 10:41:24
dc984b6e-236c-48dc-8e00-6457eec1c7e0,9405ef0f-2f13-44eb-a7b1-e8a1509437ea,ac285fd8-a4a1-40ac-8286-c8d6173f057a,3088,2025-11-23 10:43:24
fc35d9d2-330a-4b70-90c9-5b19667f2938,9405ef0f-2f13-44eb-a7b1-e8a1509437ea,ac285fd8-a4a1-40ac-8286-c8d6173f057a,3146,2025-11-23 11:17:24
09e926af-82f1-4939-be02-ce8d10f0d551,9405ef0f-2f13-44eb-a7b1-e8a1509437ea,ac285fd8-a4a1-40ac-8286-c8d6173f057a,3204,2025-11-23 11:32:24
d4d883b1-d3b5-468c-97f4-83199e6067fc,9405ef0f-2f13-44eb-a7b1-e8a1509437ea,ac285fd8-a4a1-40ac-8286-c8d6173f057a,3262,2025-11-23 11:43:24
0a17ad82-dc7d-4a5c-911b-618bdf66de43,507fca07-2e1d-4b1f-93b7-625ae80843c7,639f899b-a662-4a29-841e-bb2e7bb1ea8f,1195,2025-11-20 10:34:24
29ae6401-b5c1-4277-94cf-5244532d6583,507fca07-2e1d-4b1f-93b7-625ae80843c7,639f899b-a662-4a29-841e-bb2e7bb1ea8f,1294,2025-11-20 10:42:24
b2636d81-5457-4042-8ec9-2189da1ab1f8,507fca07-2e1d-4b1f-93b7-625ae80843c7,639f899b-a662-4a29-841e-bb2e7bb1ea8f,1393,2025-11-20 11:20:24
ab83b109-9d87-415f-acb2-c37a0a2fcf47,507fca07-2e1d-4b1f-93b7-625ae80843c7,639f899b-a662-4a29-841e-bb2e7bb1ea8f,1492,2025-11-20 11:34:24
2b3718f4-11de-4b77-9f8b-89ae3c87c232,507fca07-2e1d-4b1f-93b7-625ae80843c7,639f899b-a662-4a29-841e-bb2e7bb1ea8f,1591,2025-11-20 11:36:24
5e9e2e3f-7904-4d17-9124-317eaaafdb47,507fca07-2e1d-4b1f-93b7-625ae80843c7,639f899b-a662-4a29-841e-bb2e7bb1ea8f,1690,2025-11-20 12:09:24
671f530b-570a-471c-b2a3-54d256aaffa3,507fca07-2e1d-4b1f-93b7-625ae80843c7,639f899b-a662-4a29-841e-bb2e7bb1ea8f,1789,2025-11-20 12:34:24
5fffa950-0556-4dc3-a6c2-9ad8967a2785,507fca07-2e1d-4b1f-93b7-625ae80843c7,639f899b-a662-4a29-841e-bb2e7bb1ea8f,1888,2025-11-20 12:52:24
573d6aff-80ba-4f36-a721-60e24c51f3ff,507fca07-2e1d-4b1f-93b7-625ae80843c7,639f899b-a662-4a29-841e-bb2e7bb1ea8f,1987,2025-11-20 13:07:24
